Group_Var1	Group_Var2	Cultural Fixation Score	Americas_Var1	Americas_Var2
Basin and Plains	E North America	0.058	americas	americas
S New Guinea	N Coast New Guinea	0.0746	not americas	not americas
S New Guinea	NE South America	0.0851	not americas	americas
Oceania	N Coast New Guinea	0.0863	not americas	not americas
Basin and Plains	NE South America	0.0876	americas	americas
Indic	NE South America	0.0896	not americas	americas
California	NE South America	0.0897	americas	americas
Basin and Plains	Alaska-Oregon	0.0903	americas	americas
Interior New Guinea	S New Guinea	0.092	not americas	not americas
N Coast New Guinea	African Savannah	0.0921	not americas	not americas
Oceania	Southeast Asia	0.0958	not americas	not americas
Greater Abyssinia	Greater Mesopotamia	0.0978	not americas	not americas
California	Andean	0.1044	americas	americas
California	Basin and Plains	0.1068	americas	americas
E North America	NE South America	0.1082	americas	americas
Andean	NE South America	0.109	americas	americas
SE South America	E North America	0.1092	americas	americas
NE South America	Mesoamerica	0.111	americas	americas
Inner Asia	Indic	0.1115	not americas	not americas
Southeast Asia	N Coast New Guinea	0.1146	not americas	not americas
Greater Abyssinia	NE South America	0.1177	not americas	americas
NE South America	Greater Mesopotamia	0.1214	americas	not americas
NE South America	N Coast New Guinea	0.1221	americas	not americas
S Africa	African Savannah	0.1248	not americas	not americas
S Australia	California	0.1284	not americas	americas
Indic	S New Guinea	0.1293	not americas	not americas
Southeast Asia	African Savannah	0.1303	not americas	not americas
Oceania	African Savannah	0.134	not americas	not americas
California	E North America	0.1343	americas	americas
Andean	N Coast Asia	0.135	americas	not americas
N Australia	S New Guinea	0.1367	not americas	not americas
SE South America	NE South America	0.1373	americas	americas
Indic	Greater Abyssinia	0.1374	not americas	not americas
N Coast Asia	Indic	0.1374	not americas	not americas
SE South America	Basin and Plains	0.1376	americas	americas
Inner Asia	N Coast Asia	0.1414	not americas	not americas
California	S New Guinea	0.1445	americas	not americas
Andean	Greater Abyssinia	0.1463	americas	not americas
Mesoamerica	N Coast New Guinea	0.1489	americas	not americas
Andean	S New Guinea	0.1494	americas	not americas
California	Alaska-Oregon	0.15	americas	americas
S New Guinea	Greater Mesopotamia	0.153	not americas	not americas
Basin and Plains	Mesoamerica	0.1539	americas	americas
Inner Asia	Greater Mesopotamia	0.1541	not americas	not americas
Alaska-Oregon	E North America	0.1547	americas	americas
Andean	Greater Mesopotamia	0.1554	americas	not americas
California	Greater Abyssinia	0.157	americas	not americas
N Australia	NE South America	0.1572	not americas	americas
N Coast Asia	Greater Abyssinia	0.1573	not americas	not americas
Andean	Indic	0.1584	americas	not americas
Inner Asia	NE South America	0.1591	not americas	americas
Inner Asia	Greater Abyssinia	0.1592	not americas	not americas
California	N Australia	0.1611	americas	not americas
Basin and Plains	S New Guinea	0.1625	americas	not americas
S New Guinea	Greater Abyssinia	0.1631	not americas	not americas
Andean	Basin and Plains	0.1636	americas	americas
Europe	Greater Mesopotamia	0.1641	not americas	not americas
Indic	Greater Mesopotamia	0.1644	not americas	not americas
S Australia	N Australia	0.1648	not americas	not americas
Alaska-Oregon	Mesoamerica	0.1657	americas	americas
California	N Coast Asia	0.1674	americas	not americas
S New Guinea	Mesoamerica	0.1693	not americas	americas
Basin and Plains	N Australia	0.1696	americas	not americas
California	Greater Mesopotamia	0.1707	americas	not americas
Interior New Guinea	Andean	0.1729	not americas	americas
Mesoamerica	Greater Mesopotamia	0.1747	americas	not americas
N Australia	N Coast New Guinea	0.176	not americas	not americas
California	Interior New Guinea	0.1762	americas	not americas
Oceania	Mesoamerica	0.1779	not americas	americas
NE South America	African Savannah	0.1798	americas	not americas
Basin and Plains	Greater Mesopotamia	0.1816	americas	not americas
N Australia	Greater Mesopotamia	0.1819	not americas	not americas
S New Guinea	African Savannah	0.1821	not americas	not americas
Basin and Plains	Greater Abyssinia	0.1824	americas	not americas
SE South America	Alaska-Oregon	0.1825	americas	americas
SE South America	California	0.1837	americas	americas
N Coast Asia	NE South America	0.1856	not americas	americas
Indic	N Coast New Guinea	0.1859	not americas	not americas
Andean	Inner Asia	0.1865	americas	not americas
Indic	Southeast Asia	0.1881	not americas	not americas
Mesoamerica	African Savannah	0.1907	americas	not americas
E North America	S New Guinea	0.1925	americas	not americas
California	Indic	0.1928	americas	not americas
Alaska-Oregon	NE South America	0.1971	americas	americas
Andean	E North America	0.1999	americas	americas
N Australia	E North America	0.2005	not americas	americas
S Australia	Andean	0.2029	not americas	americas
Andean	Alaska-Oregon	0.2036	americas	americas
N Australia	Greater Abyssinia	0.2098	not americas	not americas
NE South America	Southeast Asia	0.21	americas	not americas
Interior New Guinea	NE South America	0.21	not americas	americas
S Africa	NE South America	0.2109	not americas	americas
Interior New Guinea	N Australia	0.2123	not americas	not americas
Indic	African Savannah	0.217	not americas	not americas
S Africa	N Coast New Guinea	0.217	not americas	not americas
Inner Asia	S New Guinea	0.2178	not americas	not americas
Interior New Guinea	Indic	0.2179	not americas	not americas
Interior New Guinea	N Coast New Guinea	0.2181	not americas	not americas
E North America	Mesoamerica	0.2181	americas	americas
Interior New Guinea	Greater Abyssinia	0.2189	not americas	not americas
California	Mesoamerica	0.2196	americas	americas
